productid,country,company,cost,estimatedTime,tracked
32859893411,AR,China Post Registered Air Mail,2.15 USD,44-60 days,true
32859893411,AR,AliExpress Standard Shipping,5.79 USD,46-60 days,true
32859893411,AR,EMS,39.24 USD,27 days,true
32859893411,AR,DHL,99.45 USD,15-23 days,true
32859893411,AT,China Post Registered Air Mail,0 USD,23-36 days,true
32859893411,AT,AliExpress Standard Shipping,5.51 USD,17-28 days,true
32859893411,AT,ePacket,5.59 USD,20-35 days,true
32859893411,AT,EMS,32.80 USD,17-27 days,true
32859893411,AT,DHL,51.82 USD,8-19 days,true
32859893411,AU,China Post Registered Air Mail,0 USD,24-49 days,false
32859893411,AU,ePacket,4.59 USD,13-20 days,true
32859893411,AU,AliExpress Standard Shipping,6.18 USD,20-41 days,false
32859893411,AU,EMS,24.60 USD,11-19 days,true
32859893411,AU,DHL,39.49 USD,8-16 days,true
32859893411,BE,China Post Registered Air Mail,2.29 USD,30 days,true
32859893411,BE,AliExpress Standard Shipping,5.34 USD,21 days,true
32859893411,BE,ePacket,5.59 USD,22 days,true
32859893411,BE,EMS,32.80 USD,27 days,true
32859893411,BE,DHL,51.82 USD,8-18 days,true
32859893411,BR,AliExpress Standard Shipping,0 USD,48 days,true
32859893411,BR,ePacket,6.06 USD,35 days,true
32859893411,BR,EMS,39.24 USD,27 days,true
32859893411,BR,DHL,99.45 USD,14-23 days,true
32859893411,CA,China Post Registered Air Mail,0 USD,39-59 days,false
32859893411,CA,ePacket,4.71 USD,16-26 days,true
32859893411,CA,AliExpress Standard Shipping,7.05 USD,15-30 days,true
32859893411,CA,EMS,32.80 USD,15-27 days,true
32859893411,CA,DHL,40.27 USD,7-16 days,true
32859893411,CH,China Post Registered Air Mail,0 USD,18-27 days,true
32859893411,CH,AliExpress Standard Shipping,5.29 USD,15-22 days,true
32859893411,CH,ePacket,5.59 USD,20-35 days,true
32859893411,CH,EMS,32.80 USD,11-21 days,true
32859893411,CH,DHL,51.82 USD,9-20 days,true
32859893411,CL,AliExpress Standard Shipping,0 USD,20-31 days,true
32859893411,CL,DHL,99.45 USD,12-23 days,true
32859893411,CZ,China Post Registered Air Mail,0 USD,35 days,true
32859893411,CZ,AliExpress Standard Shipping,5.85 USD,27 days,true
32859893411,CZ,EMS,39.24 USD,27 days,true
32859893411,CZ,DHL,51.82 USD,9-18 days,true
32859893411,DE,ePacket,0 USD,24 days,true
32859893411,DE,China Post Registered Air Mail,0 USD,32 days,false
32859893411,DE,AliExpress Standard Shipping,5.32 USD,23 days,false
32859893411,DE,EMS,32.80 USD,27 days,true
32859893411,DE,DHL,51.82 USD,8-17 days,true
32859893411,DK,China Post Registered Air Mail,2.32 USD,23-41 days,true
32859893411,DK,AliExpress Standard Shipping,5.52 USD,14-23 days,true
32859893411,DK,ePacket,5.59 USD,20-35 days,true
32859893411,DK,EMS,32.80 USD,22-27 days,true
32859893411,DK,DHL,51.82 USD,7-14 days,true
32859893411,ES,AliExpress Standard Shipping,0 USD,18 days,true
32859893411,ES,EMS,32.80 USD,27 days,true
32859893411,ES,DHL,51.82 USD,7-16 days,true
32859893411,FI,China Post Registered Air Mail,0 USD,18-29 days,true
32859893411,FI,AliExpress Standard Shipping,5.71 USD,15-24 days,true
32859893411,FI,ePacket,5.71 USD,20-35 days,true
32859893411,FI,EMS,32.80 USD,16-27 days,true
32859893411,FI,DHL,51.82 USD,9-22 days,true
32859893411,FR,AliExpress Standard Shipping,0 USD,18 days,true
32859893411,FR,EMS,32.80 USD,27 days,true
32859893411,FR,DHL,51.82 USD,7-14 days,true
32859893411,IE,China Post Registered Air Mail,0 USD,24-35 days,true
32859893411,IE,AliExpress Standard Shipping,5.52 USD,17-25 days,true
32859893411,IE,ePacket,5.71 USD,20-35 days,true
32859893411,IE,EMS,32.80 USD,15-27 days,true
32859893411,IE,DHL,51.82 USD,7-15 days,true
32859893411,IL,ePacket,0 USD,19-32 days,true
32859893411,IL,China Post Registered Air Mail,0 USD,25-41 days,true
32859893411,IL,AliExpress Standard Shipping,5.73 USD,24-40 days,true
32859893411,IL,EMS,39.24 USD,18-27 days,true
32859893411,IL,DHL,66.25 USD,10-21 days,true
32859893411,IN,China Post Registered Air Mail,0 USD,27-40 days,true
32859893411,IN,AliExpress Standard Shipping,5.52 USD,18-28 days,true
32859893411,IN,EMS,35.14 USD,17-27 days,true
32859893411,IN,DHL,51.82 USD,10-21 days,true
32859893411,IT,China Post Registered Air Mail,0 USD,39 days,true
32859893411,IT,ePacket,5.59 USD,31 days,true
32859893411,IT,AliExpress Standard Shipping,6.62 USD,36 days,true
32859893411,IT,EMS,32.80 USD,14-27 days,true
32859893411,IT,DHL,51.82 USD,7-14 days,true
32859893411,MX,China Post Registered Air Mail,2.32 USD,59 days,true
32859893411,MX,ePacket,6.18 USD,35 days,true
32859893411,MX,AliExpress Standard Shipping,6.64 USD,46 days,true
32859893411,MX,EMS,39.24 USD,27 days,true
32859893411,MX,DHL,40.27 USD,9-19 days,true
32859893411,NL,AliExpress Standard Shipping,0 USD,15 days,true
32859893411,NL,EMS,32.80 USD,27 days,false
32859893411,NL,DHL,51.82 USD,7-14 days,true
