productid,country,company,cost,estimatedTime,tracked
32868589524,AR,China Post Registered Air Mail,1.94 USD,44-60 days,true
32868589524,AR,AliExpress Standard Shipping,4.89 USD,46-60 days,true
32868589524,AR,EMS,39.24 USD,27 days,true
32868589524,AR,DHL,99.45 USD,15-23 days,true
32868589524,AT,China Post Registered Air Mail,0 USD,23-36 days,true
32868589524,AT,AliExpress Standard Shipping,5.04 USD,17-28 days,true
32868589524,AT,ePacket,5.19 USD,20-35 days,true
32868589524,AT,EMS,32.80 USD,17-27 days,true
32868589524,AT,DHL,51.82 USD,8-19 days,true
32868589524,AU,China Post Registered Air Mail,0 USD,24-49 days,false
32868589524,AU,ePacket,4.18 USD,13-20 days,true
32868589524,AU,AliExpress Standard Shipping,5.77 USD,20-41 days,false
32868589524,AU,EMS,24.60 USD,11-19 days,true
32868589524,AU,DHL,39.49 USD,8-16 days,true
32868589524,BE,China Post Registered Air Mail,2.04 USD,30 days,true
32868589524,BE,AliExpress Standard Shipping,4.87 USD,21 days,true
32868589524,BE,ePacket,5.19 USD,22 days,true
32868589524,BE,EMS,32.80 USD,27 days,true
32868589524,BE,DHL,51.82 USD,8-18 days,true
32868589524,BR,AliExpress Standard Shipping,0 USD,50 days,true
32868589524,BR,ePacket,5.53 USD,35 days,true
32868589524,BR,EMS,39.24 USD,27 days,true
32868589524,BR,DHL,99.45 USD,14-23 days,true
32868589524,CA,China Post Registered Air Mail,0 USD,39-59 days,false
32868589524,CA,ePacket,4.26 USD,16-26 days,true
32868589524,CA,AliExpress Standard Shipping,6.57 USD,15-30 days,true
32868589524,CA,EMS,32.80 USD,15-27 days,true
32868589524,CA,DHL,40.27 USD,7-16 days,true
32868589524,CH,China Post Registered Air Mail,0 USD,18-27 days,true
32868589524,CH,AliExpress Standard Shipping,4.84 USD,15-22 days,true
32868589524,CH,ePacket,5.19 USD,20-35 days,true
32868589524,CH,EMS,32.80 USD,11-21 days,true
32868589524,CH,DHL,51.82 USD,9-20 days,true
